application_id,fraud_type,difficulty_level,generated_signal_score
APP-0C95484E6BCF,legitimate_clean,easy,0.011
APP-8E24DFDBA373,legitimate_clean,easy,0.025
APP-7214481CC9C0,legitimate_clean,easy,0.032
APP-AB43F870163B,legitimate_clean,easy,0.083
APP-19724413A806,legitimate_clean,easy,0.051
APP-7AE60868D786,legitimate_clean,hard,0.103
APP-4BD5D9115735,legitimate_clean,easy,0.092
APP-E20540D46234,legitimate_clean,easy,0.102
APP-F93CF4AE468A,legitimate_clean,medium,0.06
APP-64E8439AB634,legitimate_clean,easy,0.0
APP-E33BCA19523B,legitimate_clean,hard,0.12
APP-25105C5BF8FA,legitimate_clean,easy,0.095
APP-30E98DB7F00C,legitimate_clean,easy,0.001
APP-A0554E5EA983,legitimate_clean,easy,0.118
APP-F7D6101E643E,legitimate_clean,easy,0.211
APP-19796736BD51,legitimate_noisy,medium,0.113
APP-8F5021482856,legitimate_clean,easy,0.043
APP-D718FE205206,legitimate_clean,easy,0.05
APP-7AD44403EB34,legitimate_clean,medium,0.032
APP-86E44D912B2D,legitimate_clean,easy,0.07
APP-416D3C6B93AF,legitimate_clean,medium,0.055
APP-4D7E24DE7C5A,legitimate_clean,easy,0.005
APP-6995FEE26BB5,legitimate_clean,easy,0.045
APP-6A9BA1C4604F,legitimate_clean,easy,0.105
APP-6A415565F186,true_name_fraud,medium,0.407
APP-48E125F47E63,legitimate_clean,easy,0.001
APP-3073AA87110C,legitimate_noisy,easy,0.188
APP-3CC7A30CCBEE,legitimate_clean,easy,0.035
APP-F336970F507A,true_name_fraud,medium,0.388
APP-392107261F5B,legitimate_clean,medium,0.014
APP-C8ACD2324AB0,legitimate_clean,easy,0.123
APP-294E9DF601E7,legitimate_clean,easy,0.035
APP-3EE690F00263,true_name_fraud,medium,0.521
APP-FB0ADB8A8220,coordinated_attack,hard,0.606
APP-1EC1BC3345B3,legitimate_clean,easy,0.016
APP-DE4634875C44,legitimate_clean,medium,0.204
APP-718B9AE28EF9,legitimate_noisy,easy,0.252
APP-C12D888F0633,legitimate_noisy,easy,0.262
APP-B81E287A97EE,coordinated_attack,hard,0.705
APP-E2FFA0C087A9,legitimate_clean,easy,0.0
APP-813AB71E0666,legitimate_noisy,medium,0.173
APP-3446CE768070,legitimate_noisy,hard,0.13
APP-406CF9C800CF,legitimate_clean,easy,0.04
APP-EF8CCDE4A315,legitimate_clean,easy,0.044
APP-92BE6FDBD6FB,legitimate_clean,medium,0.086
APP-1D1F4C7527D3,legitimate_noisy,hard,0.18
APP-F298AC588936,legitimate_noisy,medium,0.524
APP-0A8040CC0D97,synthetic_identity,easy,0.7
APP-66A17087E960,legitimate_clean,medium,0.192
APP-749F32322A65,legitimate_clean,easy,0.054
APP-FD7BB8FB66B1,synthetic_identity,medium,0.667
APP-F3286422830C,synthetic_identity,easy,0.69
APP-D8AC1EA4281C,legitimate_clean,easy,0.069
APP-2D3C8125242F,legitimate_clean,medium,0.167
APP-5842AB85BEB0,legitimate_clean,easy,0.156
APP-409C374C6A12,legitimate_clean,medium,0.043
APP-CA25797F974F,legitimate_clean,easy,0.018
APP-1B8DB4438D18,legitimate_clean,medium,0.066
APP-ABE33A046C40,legitimate_clean,easy,0.017
APP-F3617DFBCA58,legitimate_clean,easy,0.048
APP-12750DC9262A,legitimate_clean,easy,0.047
APP-7B143DA2C518,legitimate_noisy,medium,0.068
APP-EF9ECBEDC27E,legitimate_noisy,medium,0.022
APP-166399F33F32,legitimate_noisy,medium,0.141
APP-D58F000580B1,legitimate_clean,easy,0.05
APP-D4DE4F61C61C,legitimate_clean,medium,0.115
APP-E67F71D991B8,legitimate_clean,medium,0.077
APP-7CCCB73EB057,legitimate_clean,medium,0.083
APP-0CD843C84E9E,legitimate_noisy,hard,0.0
APP-6711E706ACF9,true_name_fraud,medium,0.358
APP-600BAFAD784E,legitimate_clean,easy,0.051
APP-942B4DA2AD94,legitimate_clean,medium,0.0
APP-C70CFE90BD67,legitimate_clean,easy,0.0
APP-2471B670C77A,legitimate_clean,medium,0.017
APP-C6D4229472CC,legitimate_clean,easy,0.0
APP-4B95F4979C9F,legitimate_clean,medium,0.095
APP-79266F4991F1,legitimate_clean,medium,0.088
APP-4A68A71D1600,legitimate_clean,easy,0.0
APP-F76FE7986745,legitimate_clean,easy,0.142
APP-5393BAE5D633,legitimate_noisy,medium,0.114
APP-0906ABD123D1,legitimate_clean,easy,0.0
APP-DC0712E3AA51,legitimate_clean,easy,0.016
APP-119482B4B8E0,legitimate_noisy,medium,0.152
APP-910B3FBBEED8,legitimate_clean,easy,0.0
APP-557C37EC9E97,legitimate_clean,easy,0.0
APP-4213CE668010,legitimate_clean,medium,0.09
APP-636D5AEB0738,legitimate_clean,easy,0.0
APP-9664A47C2E28,legitimate_clean,easy,0.144
APP-171E2849C253,true_name_fraud,hard,0.221
APP-10833D1768E2,legitimate_noisy,medium,0.07
APP-6746B8DDAC17,legitimate_noisy,medium,0.025
APP-032D7325C4BE,legitimate_clean,medium,0.036
APP-6EFB847A7584,legitimate_clean,easy,0.062
APP-B58389ED9D6E,legitimate_clean,easy,0.055
APP-1F230B596DA6,legitimate_clean,easy,0.026
APP-EA3D8A029DDF,true_name_fraud,hard,0.23
APP-74761D3D2B70,legitimate_clean,easy,0.051
APP-0DF98099D36F,legitimate_clean,easy,0.0
APP-46B5FC7CABF2,legitimate_clean,easy,0.0
APP-2F90B7D72896,legitimate_clean,medium,0.099
APP-62EBA4F2FC53,legitimate_clean,easy,0.0
APP-43093F57E7A9,legitimate_clean,medium,0.139
APP-E3287AD3D9C5,legitimate_clean,medium,0.035
APP-D35C2CC6DCB9,synthetic_identity,medium,0.746
APP-9DDC5B13DD11,legitimate_clean,easy,0.0
APP-95094BB44BDD,legitimate_clean,easy,0.037
APP-5DE975A07F24,legitimate_clean,hard,0.101
APP-7AF3C1DA8294,legitimate_clean,hard,0.1
APP-2B41461C76CB,synthetic_identity,hard,0.411
APP-97D183A5A5C2,legitimate_clean,easy,0.018
APP-08DB203B350A,legitimate_clean,easy,0.088
APP-5FE5D76124BE,legitimate_clean,easy,0.204
APP-53CAE28E506E,legitimate_noisy,medium,0.106
APP-0DB7C13B7100,legitimate_clean,medium,0.059
APP-1C51F6ADCF86,legitimate_clean,easy,0.178
APP-B84A33CA4280,legitimate_noisy,medium,0.018
APP-C0735B15AB15,legitimate_clean,hard,0.002
APP-61279709EFB9,legitimate_clean,easy,0.0
APP-A970739AB2AA,legitimate_clean,easy,0.0
APP-E79CDB1F46DA,legitimate_clean,medium,0.032
APP-FF3CB85B3C75,legitimate_clean,easy,0.03
APP-29736BC72FA4,legitimate_clean,easy,0.0
APP-150117A27F1B,true_name_fraud,medium,0.308
APP-3EC3947EC0E9,legitimate_clean,easy,0.037
APP-4536F4C97CB5,legitimate_clean,easy,0.021
APP-A467DCD22C9B,true_name_fraud,hard,0.073
APP-B6DC64F4C84A,legitimate_clean,easy,0.02
APP-458E8F1A0E10,true_name_fraud,medium,0.238
APP-04789DF5A104,legitimate_clean,easy,0.0
APP-1EFAFA98F25B,legitimate_clean,easy,0.048
APP-5F83A1D0F438,legitimate_noisy,hard,0.126
APP-CF858A480F20,legitimate_clean,easy,0.044
APP-CF5CDD917A54,legitimate_clean,easy,0.0
