application_id,application_date,application_month,fraud_label,fraud_type,difficulty_level,generated_signal_score,age,annual_income,months_at_address,months_at_employer,num_prev_apps_same_device_7d,num_prev_apps_same_email_30d,num_prev_apps_same_phone_30d,num_prev_apps_same_address_30d,zip_ip_distance_proxy,application_hour,is_free_email_domain,document_uploaded,thin_file_flag,name_email_match_score,income_age_ratio,tenure_min,night_application_flag,high_device_velocity_flag,high_identity_reuse_flag,state,housing_status,ip_region,employer_industry
APP-0C95484E6BCF,2024-11-21,2024-11,0,legitimate_clean,easy,0.011,43,90000,41,20,0,0,0,0,0.253,4,0,1,0,0.919,2093.0232558139537,20,1,0,0,NY,own,NY,technology
APP-8E24DFDBA373,2024-06-02,2024-06,0,legitimate_clean,easy,0.025,25,62000,85,53,0,1,0,0,0.28,9,0,1,0,0.539,2480.0,53,0,0,0,TX,rent,TX,logistics
APP-7214481CC9C0,2024-03-11,2024-03,0,legitimate_clean,easy,0.032,37,137000,73,55,0,0,0,0,0.297,19,0,1,0,0.509,3702.7027027027025,55,0,0,0,CO,own,CO,technology
APP-AB43F870163B,2024-07-12,2024-07,0,legitimate_clean,easy,0.083,25,63000,83,62,0,0,0,0,0.273,10,1,1,0,0.521,2520.0,62,0,0,0,MD,family,MD,manufacturing
APP-19724413A806,2024-10-25,2024-10,0,legitimate_clean,easy,0.051,31,46000,64,66,0,0,1,0,0.127,9,0,1,0,0.944,1483.8709677419354,64,0,0,0,FL,own,FL,manufacturing
APP-7AE60868D786,2024-03-11,2024-03,0,legitimate_clean,hard,0.103,33,21000,38,27,0,0,0,0,0.13,14,1,0,0,0.903,636.3636363636364,27,0,0,0,CA,rent,CA,hospitality
APP-4BD5D9115735,2024-12-05,2024-12,0,legitimate_clean,easy,0.092,54,116000,106,95,1,0,0,0,0.127,13,0,1,0,0.902,2148.1481481481483,95,0,0,0,FL,own,FL,insurance
APP-E20540D46234,2024-05-29,2024-05,0,legitimate_clean,easy,0.102,34,85000,39,44,0,0,0,0,0.298,0,1,1,0,0.91,2500.0,39,1,0,0,OH,rent,WI,insurance
APP-F93CF4AE468A,2024-11-12,2024-11,0,legitimate_clean,medium,0.06,30,123000,77,15,0,0,0,0,0.149,9,1,1,0,0.483,4100.0,15,0,0,0,IL,own,IL,healthcare
APP-64E8439AB634,2024-08-31,2024-08,0,legitimate_clean,easy,0.0,33,57000,82,10,0,0,0,0,0.238,18,0,1,0,0.532,1727.2727272727273,10,0,0,0,TX,rent,TX,education
APP-E33BCA19523B,2024-04-05,2024-04,0,legitimate_clean,hard,0.12,39,30000,36,19,0,0,0,0,0.079,14,1,1,0,0.467,769.2307692307693,19,0,0,0,NM,rent,TN,retail
APP-25105C5BF8FA,2024-12-31,2024-12,0,legitimate_clean,easy,0.095,42,93000,77,70,0,0,0,0,0.145,11,1,1,0,0.475,2214.285714285714,70,0,0,0,CA,own,CA,technology
APP-30E98DB7F00C,2024-06-18,2024-06,0,legitimate_clean,easy,0.001,63,87000,83,74,0,0,0,0,0.086,14,0,1,0,0.549,1380.952380952381,74,0,0,0,CA,rent,CA,education
APP-A0554E5EA983,2024-10-23,2024-10,0,legitimate_clean,easy,0.118,56,144000,39,73,1,0,0,0,0.118,13,1,1,0,0.858,2571.4285714285716,39,0,0,0,FL,own,FL,finance
APP-F7D6101E643E,2024-03-05,2024-03,0,legitimate_clean,easy,0.211,26,26000,101,92,0,0,0,0,0.24,9,1,1,1,0.37,1000.0,92,0,0,0,KY,rent,KY,retail
APP-19796736BD51,2024-11-18,2024-11,0,legitimate_noisy,medium,0.113,57,45000,7,13,0,0,0,0,0.131,20,1,1,0,0.877,789.4736842105264,7,0,0,0,CA,other,PA,manufacturing
APP-8F5021482856,2024-08-27,2024-08,0,legitimate_clean,easy,0.043,23,48000,51,94,0,0,0,1,0.19,14,0,1,0,0.541,2086.9565217391305,51,0,0,0,IN,family,IN,manufacturing
APP-D718FE205206,2024-01-07,2024-01,0,legitimate_clean,easy,0.05,33,43000,18,82,0,0,0,1,0.011,15,0,1,0,0.886,1303.030303030303,18,0,0,0,KY,own,KY,retail
APP-7AD44403EB34,2024-06-15,2024-06,0,legitimate_clean,medium,0.032,24,76000,17,70,0,0,0,0,0.224,12,0,1,0,0.898,3166.6666666666665,17,0,0,0,TX,own,TX,finance
APP-86E44D912B2D,2024-02-15,2024-02,0,legitimate_clean,easy,0.07,50,76000,113,38,0,0,0,0,0.163,11,1,1,0,0.908,1520.0,38,0,0,0,AZ,rent,TX,technology
APP-416D3C6B93AF,2024-07-25,2024-07,0,legitimate_clean,medium,0.055,21,83000,75,14,0,0,0,0,0.065,20,0,1,0,0.499,3952.3809523809523,14,0,0,0,OR,family,OR,insurance
APP-4D7E24DE7C5A,2024-03-31,2024-03,0,legitimate_clean,easy,0.005,70,150000,100,78,0,0,0,0,0.019,6,0,1,0,0.865,2142.8571428571427,78,0,0,0,NC,own,NC,technology
APP-6995FEE26BB5,2024-01-09,2024-01,0,legitimate_clean,easy,0.045,46,46000,63,90,0,0,0,0,0.122,13,0,1,0,0.91,1000.0,63,0,0,0,KY,family,KY,logistics
APP-6A9BA1C4604F,2024-06-28,2024-06,0,legitimate_clean,easy,0.105,36,171000,23,26,0,0,0,0,0.292,14,1,1,0,0.495,4750.0,23,0,0,0,CA,family,CA,finance
APP-6A415565F186,2024-01-21,2024-01,1,true_name_fraud,medium,0.407,68,51000,10,33,2,2,1,1,0.585,17,1,1,0,0.933,750.0,10,0,0,1,NM,rent,WI,insurance
APP-48E125F47E63,2024-08-13,2024-08,0,legitimate_clean,easy,0.001,55,23000,28,25,0,0,0,0,0.219,8,0,1,0,0.877,418.1818181818182,25,0,0,0,CA,own,CA,hospitality
APP-3073AA87110C,2024-07-31,2024-07,0,legitimate_noisy,easy,0.188,53,80000,1,5,0,0,0,0,0.143,17,1,1,0,0.931,1509.433962264151,1,0,0,0,FL,other,FL,healthcare
APP-3CC7A30CCBEE,2024-06-11,2024-06,0,legitimate_clean,easy,0.035,46,55000,48,22,0,0,0,0,0.001,16,0,1,0,0.492,1195.6521739130435,22,0,0,0,FL,rent,FL,insurance
APP-F336970F507A,2024-05-03,2024-05,1,true_name_fraud,medium,0.388,75,42000,20,14,1,2,2,0,0.457,19,0,1,0,0.0,560.0,14,0,0,1,TX,rent,TX,retail
APP-392107261F5B,2024-04-28,2024-04,0,legitimate_clean,medium,0.014,42,69000,101,81,0,0,0,0,0.143,15,1,1,0,0.936,1642.857142857143,81,0,0,0,OH,rent,OH,insurance
APP-C8ACD2324AB0,2024-09-25,2024-09,0,legitimate_clean,easy,0.123,25,54000,12,59,0,0,1,0,0.211,8,0,1,0,0.392,2160.0,12,0,0,0,TX,family,TX,technology
APP-294E9DF601E7,2024-11-25,2024-11,0,legitimate_clean,easy,0.035,49,70000,90,55,1,0,0,0,0.158,9,0,1,0,0.504,1428.5714285714287,55,0,0,0,CA,rent,CA,logistics
APP-3EE690F00263,2024-06-06,2024-06,1,true_name_fraud,medium,0.521,49,47000,30,29,2,2,2,0,0.303,18,1,1,1,0.09,959.1836734693877,29,0,0,1,NY,rent,NY,retail
APP-FB0ADB8A8220,2024-06-25,2024-06,1,coordinated_attack,hard,0.606,34,46000,0,1,2,1,2,3,0.324,14,1,1,1,0.906,1352.9411764705883,0,0,0,1,GA,other,GA,healthcare
APP-1EC1BC3345B3,2024-03-26,2024-03,0,legitimate_clean,easy,0.016,41,134000,82,47,0,0,0,0,0.218,16,0,1,0,0.922,3268.2926829268295,47,0,0,0,OH,rent,OH,finance
APP-DE4634875C44,2024-11-28,2024-11,0,legitimate_clean,medium,0.204,53,29000,61,11,0,0,0,1,0.154,2,1,1,0,0.48,547.1698113207547,11,1,0,0,NM,rent,IL,retail
APP-718B9AE28EF9,2024-05-05,2024-05,0,legitimate_noisy,easy,0.252,45,129000,5,11,1,1,0,0,0.324,22,1,1,0,0.54,2866.6666666666665,5,0,0,0,TN,rent,CA,finance
APP-C12D888F0633,2024-04-18,2024-04,0,legitimate_noisy,easy,0.262,25,166000,12,1,0,0,0,0,0.315,3,0,1,1,0.938,6640.0,1,1,0,0,NC,other,NC,finance
APP-B81E287A97EE,2024-08-23,2024-08,1,coordinated_attack,hard,0.705,58,91000,6,0,2,1,0,3,0.337,5,1,1,1,0.0,1568.9655172413793,0,1,0,1,TX,rent,AZ,insurance
APP-E2FFA0C087A9,2024-09-22,2024-09,0,legitimate_clean,easy,0.0,29,27000,46,72,0,0,0,0,0.24,19,0,1,0,0.524,931.0344827586207,46,0,0,0,OH,family,OH,retail
APP-813AB71E0666,2024-08-25,2024-08,0,legitimate_noisy,medium,0.173,34,66000,23,7,0,0,0,0,0.185,1,0,1,0,0.03,1941.1764705882354,7,1,0,0,MO,rent,MO,finance
APP-3446CE768070,2024-01-28,2024-01,0,legitimate_noisy,hard,0.13,65,46000,12,15,0,0,0,0,0.448,5,1,1,0,0.851,707.6923076923077,12,1,0,0,OH,family,OR,retail
APP-406CF9C800CF,2024-06-03,2024-06,0,legitimate_clean,easy,0.04,44,138000,107,12,0,0,0,0,0.069,7,0,1,0,0.926,3136.3636363636365,12,0,0,0,NV,rent,NV,healthcare
APP-EF8CCDE4A315,2024-08-30,2024-08,0,legitimate_clean,easy,0.044,69,148000,120,53,0,0,0,0,0.181,6,0,1,0,0.506,2144.927536231884,53,0,0,0,PA,rent,PA,technology
APP-92BE6FDBD6FB,2024-10-16,2024-10,0,legitimate_clean,medium,0.086,54,89000,79,50,0,0,0,0,0.055,20,1,1,0,0.502,1648.148148148148,50,0,0,0,TX,rent,NC,technology
APP-1D1F4C7527D3,2024-06-20,2024-06,0,legitimate_noisy,hard,0.18,53,44000,20,8,0,0,1,0,0.146,21,1,1,0,0.0,830.188679245283,8,0,0,0,IN,rent,NC,hospitality
APP-F298AC588936,2024-09-26,2024-09,0,legitimate_noisy,medium,0.524,21,29000,10,2,2,1,0,0,0.142,16,1,0,1,0.0,1380.952380952381,2,0,0,0,MO,own,MO,education
APP-0A8040CC0D97,2024-03-23,2024-03,1,synthetic_identity,easy,0.7,59,179000,11,6,5,1,1,5,0.811,4,1,1,0,0.067,3033.898305084746,6,1,1,1,GA,rent,GA,technology
APP-66A17087E960,2024-01-27,2024-01,0,legitimate_clean,medium,0.192,66,54000,97,7,0,0,0,0,0.048,7,1,1,1,0.906,818.1818181818181,7,0,0,0,OH,own,AZ,logistics
APP-749F32322A65,2024-01-28,2024-01,0,legitimate_clean,easy,0.054,38,77000,84,29,0,0,0,0,0.252,14,0,0,0,0.878,2026.3157894736842,29,0,0,0,CA,other,CA,insurance
APP-FD7BB8FB66B1,2024-01-26,2024-01,1,synthetic_identity,medium,0.667,59,46000,1,5,2,2,0,3,0.507,3,1,1,0,0.044,779.6610169491526,1,1,0,1,TX,rent,TX,healthcare
APP-F3286422830C,2024-01-06,2024-01,1,synthetic_identity,easy,0.69,49,104000,1,7,2,3,1,3,0.943,8,1,1,0,0.0,2122.4489795918366,1,0,0,1,TN,rent,TN,finance
APP-D8AC1EA4281C,2024-08-29,2024-08,0,legitimate_clean,easy,0.069,52,42000,114,65,0,0,0,0,0.076,17,1,1,0,0.458,807.6923076923077,65,0,0,0,NM,family,NM,manufacturing
APP-2D3C8125242F,2024-01-04,2024-01,0,legitimate_clean,medium,0.167,34,92000,79,46,1,0,0,0,0.044,7,0,1,1,0.874,2705.8823529411766,46,0,0,0,MO,own,MO,technology
APP-5842AB85BEB0,2024-09-09,2024-09,0,legitimate_clean,easy,0.156,28,113000,68,53,0,0,1,0,0.127,1,1,1,0,0.866,4035.714285714286,53,1,0,0,OH,other,OH,finance
APP-409C374C6A12,2024-10-09,2024-10,0,legitimate_clean,medium,0.043,63,165000,106,60,0,0,0,0,0.032,8,0,1,0,0.529,2619.0476190476193,60,0,0,0,NE,other,NE,finance
APP-CA25797F974F,2024-10-23,2024-10,0,legitimate_clean,easy,0.018,42,93000,91,32,0,0,0,0,0.159,17,0,1,0,0.522,2214.285714285714,32,0,0,0,PA,rent,MA,manufacturing
APP-1B8DB4438D18,2024-07-25,2024-07,0,legitimate_clean,medium,0.066,20,22000,103,54,0,0,0,0,0.167,11,1,1,0,0.863,1100.0,54,0,0,0,GA,own,GA,retail
APP-ABE33A046C40,2024-11-01,2024-11,0,legitimate_clean,easy,0.017,57,102000,31,74,0,0,0,0,0.174,8,1,1,0,0.503,1789.4736842105262,31,0,0,0,TX,rent,TX,finance
APP-F3617DFBCA58,2024-07-05,2024-07,0,legitimate_clean,easy,0.048,70,118000,67,60,0,0,0,0,0.047,12,0,1,0,0.947,1685.7142857142858,60,0,0,0,IL,family,IL,technology
APP-12750DC9262A,2024-05-14,2024-05,0,legitimate_clean,easy,0.047,64,43000,51,77,0,0,0,0,0.109,15,0,1,0,0.525,671.875,51,0,0,0,CO,family,CO,hospitality
APP-7B143DA2C518,2024-12-21,2024-12,0,legitimate_noisy,medium,0.068,23,101000,18,15,0,0,0,0,0.431,16,0,1,0,0.909,4391.304347826087,15,0,0,0,CA,other,AZ,technology
APP-EF9ECBEDC27E,2024-09-25,2024-09,0,legitimate_noisy,medium,0.022,52,24000,14,6,0,0,0,0,0.303,14,1,1,0,0.547,461.53846153846155,6,0,0,0,TX,family,TX,hospitality
APP-166399F33F32,2024-03-19,2024-03,0,legitimate_noisy,medium,0.141,57,136000,11,11,0,0,0,0,0.389,13,0,1,0,0.0,2385.964912280702,11,0,0,0,AZ,rent,AZ,healthcare
APP-D58F000580B1,2024-01-31,2024-01,0,legitimate_clean,easy,0.05,51,65000,67,47,0,0,0,0,0.176,20,0,1,0,0.926,1274.5098039215686,47,0,0,0,MO,own,MO,technology
APP-D4DE4F61C61C,2024-02-18,2024-02,0,legitimate_clean,medium,0.115,26,23000,36,36,0,0,0,0,0.002,12,1,1,0,0.387,884.6153846153846,36,0,0,0,CA,rent,CA,hospitality
APP-E67F71D991B8,2024-02-20,2024-02,0,legitimate_clean,medium,0.077,26,131000,63,66,0,0,0,0,0.034,12,0,1,0,0.473,5038.461538461538,63,0,0,0,TN,rent,TN,healthcare
APP-7CCCB73EB057,2024-04-13,2024-04,0,legitimate_clean,medium,0.083,40,76000,81,8,0,0,0,0,0.016,13,1,1,0,0.943,1900.0,8,0,0,0,MD,other,MD,manufacturing
APP-0CD843C84E9E,2024-05-20,2024-05,0,legitimate_noisy,hard,0.0,29,61000,18,10,0,0,0,0,0.32,8,0,1,0,0.857,2103.448275862069,10,0,0,0,TX,family,TX,insurance
APP-6711E706ACF9,2024-05-24,2024-05,1,true_name_fraud,medium,0.358,26,35000,26,13,2,1,2,1,0.39,15,1,1,0,0.487,1346.1538461538462,13,0,0,1,FL,family,FL,logistics
APP-600BAFAD784E,2024-05-23,2024-05,0,legitimate_clean,easy,0.051,64,73000,97,27,0,0,0,0,0.058,19,0,0,0,0.907,1140.625,27,0,0,0,FL,family,FL,insurance
APP-942B4DA2AD94,2024-01-14,2024-01,0,legitimate_clean,medium,0.0,34,62000,93,82,0,0,0,0,0.116,13,0,1,0,0.545,1823.5294117647059,82,0,0,0,NE,rent,NE,education
APP-C70CFE90BD67,2024-01-10,2024-01,0,legitimate_clean,easy,0.0,21,26000,67,29,0,0,0,0,0.03,10,0,1,0,0.881,1238.095238095238,29,0,0,0,TN,rent,TN,logistics
APP-2471B670C77A,2024-07-19,2024-07,0,legitimate_clean,medium,0.017,18,74000,85,54,0,1,0,0,0.056,11,0,1,0,0.923,4111.111111111111,54,0,0,0,CA,rent,CA,technology
APP-C6D4229472CC,2024-04-01,2024-04,0,legitimate_clean,easy,0.0,34,149000,70,47,0,0,0,0,0.073,15,0,1,0,0.881,4382.35294117647,47,0,0,0,CA,own,CA,technology
APP-4B95F4979C9F,2024-02-22,2024-02,0,legitimate_clean,medium,0.095,23,47000,17,74,0,0,0,0,0.271,11,1,1,0,0.899,2043.4782608695652,17,0,0,0,NY,rent,NY,insurance
APP-79266F4991F1,2024-07-01,2024-07,0,legitimate_clean,medium,0.088,32,41000,89,11,0,0,0,0,0.001,20,1,1,0,0.933,1281.25,11,0,0,0,NC,own,NC,logistics
APP-4A68A71D1600,2024-02-01,2024-02,0,legitimate_clean,easy,0.0,21,91000,52,81,0,0,0,0,0.163,13,0,1,0,0.926,4333.333333333333,52,0,0,0,CA,own,CA,finance
