setup,split,n_samples,n_fraud,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp
1_structured_only,val,864,114,0.9962339181286549,0.9811766571419178,0.9532710280373832,0.8947368421052632,0.9230769230769231,745,5,12,102
2_text_only_borderline,val,51,27,0.7978395061728394,0.8598117468484052,0.8181818181818182,0.6666666666666666,0.7346938775510204,20,4,9,18
3_combined_all_cases,val,864,114,0.9625029239766081,0.9561845453563041,0.9622641509433962,0.8947368421052632,0.9272727272727272,746,4,12,102
4_borderline_routed,val,864,114,0.994,0.9719186758490975,0.9622641509433962,0.8947368421052632,0.9272727272727272,746,4,12,102
1_structured_only,val_borderline,51,27,0.7762345679012345,0.7667371608398026,0.7727272727272727,0.6296296296296297,0.6938775510204082,19,5,10,17
3_combined_all_cases,val_borderline,51,27,0.7700617283950617,0.7826127090704231,0.8095238095238095,0.6296296296296297,0.7083333333333334,20,4,10,17
4_borderline_routed,val_borderline,51,27,0.7700617283950617,0.7826127090704231,0.8095238095238095,0.6296296296296297,0.7083333333333334,20,4,10,17
1_structured_only,test,835,100,0.9950340136054422,0.9743678833594588,0.967391304347826,0.89,0.9270833333333334,732,3,11,89
2_text_only_borderline,test,45,19,0.8178137651821862,0.7546574610022434,0.7222222222222222,0.6842105263157895,0.7027027027027027,21,5,6,13
3_combined_all_cases,test,835,100,0.957156462585034,0.9479768751129877,0.967391304347826,0.89,0.9270833333333334,732,3,11,89
4_borderline_routed,test,835,100,0.9925034013605443,0.9657103034943244,0.967391304347826,0.89,0.9270833333333334,732,3,11,89
1_structured_only,test_borderline,45,19,0.8137651821862348,0.7744450832105632,0.8571428571428571,0.631578947368421,0.7272727272727273,24,2,7,12
3_combined_all_cases,test_borderline,45,19,0.7894736842105263,0.7410313221683367,0.8571428571428571,0.631578947368421,0.7272727272727273,24,2,7,12
4_borderline_routed,test_borderline,45,19,0.7894736842105263,0.7410313221683367,0.8571428571428571,0.631578947368421,0.7272727272727273,24,2,7,12
