setup,threshold,n_flagged,review_rate,precision,recall,f1
LightGBM (Stage 1),0.3,97,0.11616766467065869,0.9381443298969072,0.91,0.9238578680203046
LightGBM (Stage 1),0.4,95,0.11377245508982035,0.9473684210526315,0.9,0.9230769230769231
LightGBM (Stage 1),0.5,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
LightGBM (Stage 1),0.6,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
LightGBM (Stage 1),0.7,91,0.1089820359281437,0.978021978021978,0.89,0.9319371727748691
Combined (All),0.3,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Combined (All),0.4,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Combined (All),0.5,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Combined (All),0.6,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Combined (All),0.7,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Borderline Routed,0.3,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Borderline Routed,0.4,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Borderline Routed,0.5,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Borderline Routed,0.6,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
Borderline Routed,0.7,92,0.11017964071856287,0.967391304347826,0.89,0.9270833333333334
